Image,Question,Answer,,,,,
Image_2743.jpg,How does the boy feel while lying down?,He feels peaceful and serene.,,,,,
Image_2746.jpg,How is the girl utilizing her phone and headphones?,The girl is using her phone while wearing headphones.,,,,,
Image_2746.jpg,What emotions does the girl display while using it?,She displays comfort and enjoyment.,,,,,
Image_2751.jpg,What task is the man performing with the headphones?,The man is dancing while wearing headphones.,,,,,
Image_2751.jpg,Is the man showing excitement while dancing?,"Yes, the man is showing excitement.",,,,,
Image_2753.jpg,What activity occupies the man with the phone?,The man is talking on the phone in front of a laptop.,,,,,
Image_2753.jpg,How does the man feel during the conversation?,He feels attentive and composed.,,,,,
Image_2760.jpg,Is the man raising his arms while dancing?,"Yes, the man is raising his arms.",,,,,
Image_2760.jpg,How does the man feel while dancing?,He feels energetic and thrilled.,,,,,
Image_2765.jpg,What action is the man taking with the glass?,The man is drinking water while taking a pill.,,,,,
Image_2765.jpg,What emotions does the man display while drinking?,He displays a calm and relieved expression.,,,,,
Image_2775.jpg,How does the woman interact with her phone?,The woman is using her phone attentively.,,,,,
Image_2775.jpg,Is the woman focused while browsing?,"Yes, the woman is focused.",,,,,
Image_2797.jpg,What task is the woman doing with her phone?,The woman is using her phone while in bed.,,,,,
Image_2797.jpg,How does the woman appear while using it?,She appears cozy and absorbed.,,,,,
Image_2809.jpg,How is the man handling his phone and cup?,The man is using his phone while holding a coffee cup.,,,,,
Image_2809.jpg,Does the man appear purposeful while multitasking?,"Yes, the man appears purposeful.",,,,,
Image_2813.jpg,What activity is the woman engaged in with the phone?,The woman is talking on the phone at her desk.,,,,,
Image_2813.jpg,How does the woman feel during the call?,She feels frustrated and intense.,,,,,
Image_2823.jpg,How does the man use his headphones at the computer?,The man is listening through headphones while working.,,,,,
Image_2823.jpg,Is the man concentrated while working?,"Yes, the man is concentrated.",,,,,
Image_2824.jpg,What is the man doing with his phone in the dim light?,The man is using his phone with glowing glasses.,,,,,
Image_2824.jpg,How does the man’s mood appear while browsing?,His mood appears focused and curious.,,,,,
Image_2850.jpg,What action does the man take with the glass?,The man is drinking wine from the glass.,,,,,
Image_2850.jpg,Does the man look relaxed while sipping?,"Yes, the man looks relaxed.",,,,,
Image_2858.jpg,How is the child using the glass?,The child is drinking from the glass in the kitchen.,,,,,
Image_2858.jpg,What expression does the child show while drinking?,The child shows a content expression.,,,,,
Image_2864.jpg,How is the girl using her headphones?,The girl is listening to music with headphones.,,,,,
Image_2864.jpg,Does the girl appear happy while listening?,"Yes, the girl appears happy.",,,,,
Image_2889.jpg,What activity is the girl performing with the phone?,The girl is talking on the phone.,,,,,
Image_2889.jpg,How does the girl feel during the conversation?,She feels cheerful and engaged.,,,,,
Image_2895.jpg,How does the woman handle the orange juice?,The woman is drinking orange juice from a glass.,,,,,
Image_2895.jpg,Is the woman enjoying the taste?,"Yes, the woman is enjoying the taste.",,,,,
Image_2900.jpg,What task is the woman doing with the bottle?,The woman is drinking from the bottle.,,,,,
Image_2900.jpg,How does the woman feel while drinking?,She feels relaxed and carefree.,,,,,
Image_2913.jpg,How is the man engaging with the phone?,The man is talking on the phone at his desk.,,,,,
Image_2913.jpg,Does the man seem tired during the call?,"Yes, the man seems tired.",,,,,
Image_2915.jpg,What activity is the man performing with headphones?,The man is listening to music with headphones.,,,,,
Image_2915.jpg,How does the man feel while listening?,He feels calm and focused.,,,,,
Image_2919.jpg,How is the boy interacting with his phone?,The boy is using his phone attentively.,,,,,
Image_2919.jpg,Is the boy smiling while browsing?,"Yes, the boy is smiling.",,,,,
Image_2920.jpg,What action is the man taking with the shake?,The man is drinking a protein shake.,,,,,
Image_2920.jpg,How does the man feel after his workout?,He feels refreshed and satisfied.,,,,,
Image_2924.jpg,How does the woman use the phone at her desk?,The woman is talking on the phone while working.,,,,,
Image_2924.jpg,Does the woman appear stressed during the call?,"Yes, the woman appears stressed.",,,,,
Image_2928.jpg,What task is the boy performing with the drink?,The boy is drinking with a straw.,,,,,
Image_2928.jpg,How does the boy feel while sipping?,He feels content and relaxed.,,,,,
Image_2931.jpg,How is the man using his phone?,The man is talking on the phone with his hand on his head.,,,,,
Image_2931.jpg,Does the man appear thoughtful during the call?,"Yes, the man appears thoughtful.",,,,,
Image_2936.jpg,What task is the man performing with the bottle?,The man is drinking from the bottle.,,,,,
Image_2936.jpg,How does the man feel while drinking?,He feels refreshed and focused.,,,,,
Image_2947.jpg,How does the woman handle her phone?,The woman is talking on the phone in a suit.,,,,,
Image_2947.jpg,Is the woman smiling during the conversation?,"Yes, the woman is smiling.",,,,,
Image_2950.jpg,What activity is the man engaged in with his phone?,The man is using his phone on a balcony.,,,,,
Image_2950.jpg,How does the man feel while browsing?,He feels content and relaxed.,,,,,
Image_2953.jpg,How is the woman interacting with her laptop?,The man is using his laptop in a café.,,,,,
Image_2953.jpg,Does the man seem focused while working?,"Yes, the man seems focused.",,,,,
Image_2959.jpg,What task is the woman performing with her laptop?,The woman is using her laptop on a couch.,,,,,
Image_2959.jpg,How does the woman feel while working?,She feels comfortable and focused.,,,,,
Image_2963.jpg,What task is the man doing with his phone?,The man is using his phone alongside a laptop.,,,,,
Image_2963.jpg,How does the man feel during this multitasking?,He feels attentive and engaged.,,,,,
Image_2992.jpg,How does the man operate his phone?,The man is using his phone at night.,,,,,
Image_2992.jpg,Is the man appearing curious while browsing?,"Yes, the man is appearing curious.",,,,,
Image_2998.jpg,What activity is the man performing with the phone?,The man is talking on the phone with a smile.,,,,,
Image_2998.jpg,How does the man feel during the call?,He feels cheerful and positive.,,,,,
Image_3000.jpg,How is the man using his phone?,The man is talking on the phone while holding a soccer ball.,,,,,
Image_3000.jpg,Does the man seem relaxed during the call?,"Yes, the man seems relaxed.",,,,,
Image_3068.jpg,How is the boy handling the glass?,The boy is drinking water from the glass.,,,,,
Image_3068.jpg,Does the boy appear thirsty while drinking?,"Yes, the boy appears thirsty.",,,,,
Image_3086.jpg,What activity is the man performing with his phone?,The man is taking a selfie with his phone.,,,,,
Image_3086.jpg,How does the man feel while posing?,He feels confident and happy.,,,,,
Image_3093.jpg,How does the woman interact with the cup?,The woman is smelling a cup of coffee in the kitchen.,,,,,
Image_3093.jpg,Is the woman enjoying the aroma?,"Yes, the woman is enjoying the aroma.",,,,,
Image_3103.jpg,What task is the man doing with the bottle?,The man is drinking from a bottle at sunset.,,,,,
Image_3103.jpg,How does the man feel while drinking?,How does the man feel while drinking?,,,,,
Image_3111.jpg,How is the boy using his phone and headphones?,The boy is using his phone while wearing headphones.,,,,,
Image_3111.jpg,Does the boy seem engaged while listening?,"Yes, the boy seems engaged.",,,,,
Image_3128.jpg,What activity is the woman performing with her laptop?,The woman is using her laptop with a drink in a café.,,,,,
Image_3128.jpg,How does the woman feel while working?,She feels focused and calm.,,,,,
Image_3140.jpg,How does the man handle his phone?,The man is talking on the phone in a suit.,,,,,
Image_3140.jpg,Is the man appearing concerned during the call?,"Yes, the man is appearing concerned.",,,,,
Image_3143.jpg,What task is the woman doing with her laptop?,The woman is using her laptop in bed at night.,,,,,
Image_3143.jpg,How does the woman feel while using it?,She feels comfortable and intrigued.,,,,,
Image_3144.jpg,How is the woman using the red cup?,The woman is drinking from a red cup.,,,,,
Image_3144.jpg,Does the woman seem content while sipping?,"Yes, the woman seems content.",,,,,
Image_3155.jpg,What activity is the boy performing with the glass?,The boy is drinking water from a glass indoors.,,,,,
Image_3155.jpg,How does the boy feel while drinking?,How does the boy feel while drinking?,,,,,
Image_3157.jpg,How does the man engage with his headphones?,The man is dancing while wearing headphones.,,,,,
Image_3157.jpg,Is the man giving a thumbs-up while dancing?,"Yes, the man is giving a thumbs-up.",,,,,
Image_3162.jpg,What activity is the woman performing with the glass?,The woman is drinking juice from the glass.,,,,,
Image_3162.jpg,Does the woman seem refreshed while drinking?,"Yes, the woman seems refreshed.",,,,,
Image_3165.jpg,How is the woman interacting with her laptop?,The woman is using her laptop on a couch.,,,,,
Image_3165.jpg,What emotion does the woman show while working?,She shows a calm and focused emotion.,,,,,
Image_3168.jpg,What is the boy doing with his headphones?,The boy is listening to music with headphones.,,,,,
Image_3168.jpg,Is the boy smiling while listening?,"Yes, the boy is smiling.",,,,,
Image_3176.jpg,How does the man use his headphones?,The man is listening to music through his headphones.,,,,,
Image_3176.jpg,Does the man appear joyful while listening?,"Yes, the man appears joyful.",,,,,
Image_3184.jpg,What task is the boy performing with the phone?,The boy is holding and looking at the phone.,,,,,
Image_3184.jpg,How does the boy feel while holding the phone?,He feels curious and attentive.,,,,,
Image_3190.jpg,How is the woman handling the red cup?,The woman is drinking from the red cup.,,,,,
Image_3190.jpg,Does the woman look content while sipping?,"Yes, the woman looks content.",,,,,
Image_3192.jpg,What action is the boy taking with the glass?,The boy is drinking water from the glass.,,,,,
Image_3192.jpg,How does the boy appear while drinking?,He appears refreshed and focused.,,,,,
Image_3214.jpg,How does the boy interact with the tablet?,The boy is using the tablet in bed.,,,,,
Image_3214.jpg,What mood does the boy display while using it?,He displays a focused and intrigued mood.,,,,,
Image_3223.jpg,Is the man using earbuds with both ears?,"Yes, the man is using earbuds with both ears.",,,,,
Image_3223.jpg,How does the man feel while listening?,He feels peaceful and content.,,,,,
Image_3228.jpg,How does the man interact with the tablet?,The man is using the tablet with both hands.,,,,,
Image_3228.jpg,Is the man focused while working?,"Yes, the man is focused.",,,,,
Image_3247.jpg,What task is the man performing with the coffee cup?,The man is drinking coffee from a cup.,,,,,
Image_3247.jpg,How does the man feel while drinking?,He feels calm and satisfied.,,,,,
Image_3248.jpg,Is the man adjusting his headphones?,"No, the man is not adjusting his headphones.",,,,,
Image_3248.jpg,How does the man feel while listening?,He feels happy and engaged.,,,,,
Image_3254.jpg,How is the woman using her earbuds?,The woman is listening to music with earbuds.,,,,,
Image_3254.jpg,Does the woman seem energized while listening?,"Yes, the woman seems energized.",,,,,
Image_3269.jpg,What activity is the man performing with the phone?,The man is talking on the phone.,,,,,
Image_3269.jpg,How does the man feel during the call?,He feels serious and attentive.,,,,,
Image_3272.jpg,Is the woman sipping the water slowly?,"Yes, the woman is sipping the water slowly.",,,,,
Image_3272.jpg,How does the woman feel while drinking?,She feels refreshed and relaxed.,,,,,
Image_3276.jpg,How does the man engage with the phone?,The man is talking on the phone.,,,,,
Image_3276.jpg,Is the man feeling cheerful while speaking?,"Yes, the man is feeling cheerful.",,,,,
Image_3279.jpg,What task is the woman performing with the laptop?,The woman is using her laptop.,,,,,
Image_3279.jpg,How does the woman feel while working?,She feels concentrated and calm.,,,,,
Image_3281.jpg,How does the woman use the phone?,The woman is talking on the phone.,,,,,
Image_3281.jpg,Is the woman feeling frustrated during the call?,"Yes, the woman is feeling frustrated.",,,,,
Image_3285.jpg,Is the man holding his phone with both hands?,"Yes, the man is holding his phone with both hands.",,,,,
Image_3285.jpg,How does the man feel while reacting?,He feels surprised and frustrated.,,,,,
Image_3295.jpg,What activity is the boy performing with the phone?,The boy is looking at his phone.,,,,,
Image_3295.jpg,How does the boy feel while looking?,He feels happy and amused.,,,,,
Image_3305.jpg,Is the man speaking into the phone?,"Yes, the man is speaking into the phone.",,,,,
Image_3305.jpg,How does the man feel during the call?,He feels thoughtful and engaged.,,,,,
Image_3308.jpg,What task is the woman performing with the glass?,The woman is drinking beer from a glass.,,,,,
Image_3308.jpg,How does the woman feel while drinking?,She feels relaxed and content.,,,,,
Image_3332.jpg,Is the woman holding the phone to her ear?,"Yes, the woman is holding the phone to her ear.",,,,,
Image_3332.jpg,How does the woman feel during the call?,She feels cheerful and professional.,,,,,
Image_3333.jpg,What activity is the girl performing with the glass?,The girl is drinking milk from a glass.,,,,,
Image_3333.jpg,How does the girl feel while drinking?,She feels focused and calm.,,,,,
Image_3334.jpg,Is the man sipping the orange juice?,"Yes, the man is sipping the orange juice.",,,,,
Image_3334.jpg,How does the man feel while drinking?,He feels refreshed and satisfied.,,,,,
Image_3365.jpg,What task is the woman performing with the earbuds?,The woman is listening to music with earbuds.,,,,,
Image_3365.jpg,How does the woman feel while listening?,She feels joyful and energized.,,,,,
Image_3379.jpg,Is the woman using a phone with a smile?,"Yes, the woman is using a phone with a smile.",,,,,
Image_3379.jpg,How does the woman feel during the call?,She feels excited and positive.,,,,,
Image_3386.jpg,What activity is the woman performing with the phone?,The woman is talking on the phone.,,,,,
Image_3386.jpg,How does the woman feel while talking?,She feels happy and relaxed.,,,,,
Image_3393.jpg,What task is the woman performing with the phone?,The woman is talking on the phone while using a laptop.,,,,,
Image_3393.jpg,How does the woman feel during the call?,She feels focused and engaged.,,,,,
Image_3399.jpg,Is the man holding the headphones with both hands?,"Yes, the man is holding the headphones with both hands.",,,,,
Image_3399.jpg,How does the man feel while listening?,He feels relaxed and content.,,,,,
Image_3421.jpg,What activity is the boy performing with the laptop?,The boy is using a laptop while wearing headphones.,,,,,
Image_3421.jpg,Is the boy smiling while working?,"Yes, the boy is smiling.",,,,,
Image_3446.jpg,How is the woman handling the mug?,The woman is drinking from a mug.,,,,,
Image_3446.jpg,How does the woman feel while sipping?,She feels calm and satisfied.,,,,,
Image_3452.jpg,Is the man sipping the wine?,"No, the man is not sipping the wine.",,,,,
Image_3452.jpg,How does the man feel while holding the glass?,He feels stressed and contemplative.,,,,,
Image_3457.jpg,What task is the man performing with his phone?,The man is taking a selfie while wearing headphones.,,,,,
Image_3457.jpg,How does the man feel while posing?,He feels cheerful and confident.,,,,,
Image_3464.jpg,How does the man use the can?,The man is drinking from a can.,,,,,
Image_3464.jpg,Is the man appearing refreshed after drinking?,"Yes, the man is appearing refreshed.",,,,,
Image_3468.jpg,Is the woman holding the phone to her ear?,"Yes, the woman is holding the phone to her ear.",,,,,
Image_3468.jpg,How does the woman feel during the call?,She feels concerned and attentive.,,,,,
Image_3477.jpg,What activity is the man performing with the phone?,The man is talking on the phone.,,,,,
Image_3477.jpg,How does the man feel while speaking?,He feels relaxed and happy.,,,,,
Image_3492.jpg,How is the man engaging with his headphones?,The man is listening to music with headphones.,,,,,
Image_3492.jpg,Is the man closing his eyes while listening?,"Yes, the man is closing his eyes.",,,,,
Image_3508.jpg,What task is the boy performing with the phone?,The boy is using his phone.,,,,,
Image_3508.jpg,How does the boy feel while using it?,He feels bored and thoughtful.,,,,,
Image_3512.jpg,Is the woman holding the phone with one hand?,"Yes, the woman is holding the phone with one hand.",,,,,
Image_3512.jpg,How does the woman feel while browsing?,She feels calm and focused.,,,,,
Image_3524.jpg,How is the boy using his headphones?,The boy is listening to music with headphones.,,,,,
Image_3524.jpg,How does the boy feel while listening?,He feels happy and relaxed.,,,,,
Image_3540.jpg,Is the man holding the laptop close to his face?,"Yes, the man is holding the laptop close to his face.",,,,,
Image_3540.jpg,How does the man feel while using it?,He feels surprised and curious.,,,,,
Image_3551.jpg,What activity is the woman performing with the phone?,The woman is talking on the phone.,,,,,
Image_3551.jpg,How does the woman feel during the call?,She feels professional and attentive.,,,,,
Image_3557.jpg,How is the man engaging with his headphones?,The man is listening to music with headphones.,,,,,
Image_3557.jpg,Is the man feeling joyful while listening?,"Yes, the man is feeling joyful.",,,,,
Image_3561.jpg,What task is the woman performing with the mug?,The woman is drinking from a mug.,,,,,
Image_3561.jpg,How does the woman feel while sipping?,She feels happy and relaxed.,,,,,
Image_3572.jpg,Is the man holding the phone to his ear?,"Yes, the man is holding the phone to his ear.",,,,,
Image_3572.jpg,How does the man feel while talking?,He feels confident and cheerful.,,,,,
Image_3586.jpg,How is the man using his laptop and headphones?,The man is using a laptop while wearing headphones.,,,,,
Image_3586.jpg,How does the man feel while working?,He feels focused and comfortable.,,,,,
Image_3601.jpg,What activity is the woman performing with the mug?,The woman is drinking from a yellow mug.,,,,,
Image_3601.jpg,How does the woman feel while drinking?,She feels warm and content.,,,,,
Image_3602.jpg,How is the boy using his headphones?,The boy is listening to music with headphones.,,,,,
Image_3602.jpg,How does the boy feel while listening?,He feels happy and engaged.,,,,,
Image_3604.jpg,Is the woman holding the phone to her ear?,"Yes, the woman is holding the phone to her ear.",,,,,
Image_3604.jpg,How does the woman feel during the call?,She feels serious and focused.,,,,,
Image_3636.jpg,What task is the man performing with the phone?,The man is talking on the phone.,,,,,
Image_3636.jpg,The man is talking on the phone.,The man is talking on the phone.,,,,,
Image_3640.jpg,Is the woman speaking into the phone?,"Yes, the woman is speaking into the phone.",,,,,
Image_3640.jpg,How does the woman feel while speaking?,She feels relaxed and attentive.,,,,,
Image_3643.jpg,How is the woman using her headphones?,The woman is listening to music with headphones.,,,,,
Image_3643.jpg,How does the woman feel while listening?,She feels calm and content.,,,,,
Image_3650.jpg,What activity is the woman performing with the phone?,The woman is talking on the phone.,,,,,
Image_3650.jpg,How does the woman feel during the call?,She feels thoughtful and engaged.,,,,,
Image_3678.jpg,Is the girl holding the phone with one hand?,"Yes, the girl is holding the phone with one hand.",,,,,
Image_3678.jpg,How does the girl feel while talking?,She feels happy and relaxed.,,,,,
Image_3692.jpg,What task is the boy performing with the drink?,The boy is drinking with a straw.,,,,,
Image_3692.jpg,How does the boy feel while drinking?,He feels satisfied and cheerful.,,,,,
Image_3704.jpg,How is the woman using the bottle?,The woman is drinking water from a bottle.,,,,,
Image_3704.jpg,How does the woman feel while drinking?,She feels refreshed and relieved.,,,,,
Image_3720.jpg,What activity is the woman performing with the headphones?,The woman is listening to music with headphones.,,,,,
Image_3720.jpg,How does the woman feel while listening?,She feels carefree and joyful.,,,,,
Image_3723.jpg,What activity is the child performing with the juice jar?,The child is sipping juice through a straw.,,,,,
Image_3723.jpg,How does the child feel while enjoying the juice?,The child feels delighted and curious while drinking.,,,,,
Image_3725.jpg,Is the woman multitasking?,"Yes, she is using her laptop and phone.",,,,,
Image_3725.jpg,How does she feel while working?,The woman feels happy and engaged.,,,,,
Image_3728.jpg,What is the woman doing with the glass?,She is holding a glass of wine.,,,,,
Image_3728.jpg,How does she feel while drinking?,The elderly woman feels cheerful and relaxed.,,,,,
Image_3760.jpg,What is the man doing with the phone?,The man is shouting angrily on the phone.,,,,,
Image_3760.jpg,How does he feel during the call?,The man feels frustrated and upset.,,,,,
Image_3766.jpg,What is the woman doing with the laptop?,The woman is typing on her laptop.,,,,,
Image_3766.jpg,How does the woman feel while working?,The woman feels happy and focused.,,,,,
Image_3769.jpg,Is the man working or watching something?,The man is either working or watching something on his laptop.,,,,,
Image_3769.jpg,How does the man feel while using the laptop?,The man feels relaxed and focused.,,,,,
Image_3781.jpg,What is the boy doing with his phone?,The boy is reading or texting on his phone.,,,,,
Image_3781.jpg,How does the boy feel while using the phone?,The boy feels serious and focused.,,,,,
Image_3783.jpg,What is the man doing with the bottle?,The man is drinking water from a bottle.,,,,,
Image_3783.jpg,How does the man feel while drinking?,The man feels refreshed and satisfied.,,,,,
Image_3786.jpg,Is the woman having a professional call?,"Yes, the businesswoman is having a professional phone call.",,,,,
Image_3786.jpg,How does the woman feel during the call?,The businesswoman feels confident and calm.,,,,,
Image_3799.jpg,What is the man doing with the phone?,The man is having a phone conversation outdoors.,,,,,
Image_3799.jpg,How does the man feel while talking?,The man feels happy and relaxed.,,,,,
Image_3802.jpg,What is the boy doing with the glass?,The boy is drinking water from the glass.,,,,,
Image_3802.jpg,How does the boy feel while drinking?,He feels refreshed and happy.,,,,,
Image_3806.jpg,What task is the man performing with the laptop?,The man is working on the laptop.,,,,,
Image_3806.jpg,How does the man feel while working?,He feels focused and happy.,,,,,
Image_3807.jpg,What activity is the man performing with the phone?,The man is talking on the phone.,,,,,
Image_3807.jpg,How does the man feel during the conversation?,He feels serious and attentive.,,,,,
Image_3811.jpg,How is the woman using her headphones?,The woman is listening to music with headphones.,,,,,
Image_3811.jpg,How does the woman feel while listening?,She feels relaxed and peaceful.,,,,,
Image_3815.jpg,What is the woman doing with the laptop?,The woman is working on the laptop while sitting on the grass.,,,,,
Image_3815.jpg,How does the woman feel while working?,She feels calm and focused.,,,,,
Image_3817.jpg,What task is the man performing with the glass?,The man is drinking water from the glass.,,,,,
Image_3817.jpg,How does the man feel while drinking?,He feels refreshed and relaxed.,,,,,
Image_3822.jpg,How is the woman using her headphones?,The woman is listening to music with headphones.,,,,,
Image_3822.jpg,How does the woman feel while listening?,She feels happy and joyful.,,,,,
Image_3830.jpg,How is the man engaging with his headphones?,The man is listening to music with headphones.,,,,,
Image_3830.jpg,How does the man feel while listening?,He feels relaxed and focused.,,,,,
Image_3845.jpg,What task is the elderly woman performing with the cup?,The woman is drinking tea from the cup.,,,,,
Image_3845.jpg,How does the woman feel while drinking?,She feels happy and content.,,,,,
Image_3846.jpg,What is the woman doing with the earphones?,The woman is putting on her earphones.,,,,,
Image_3846.jpg,How does the woman feel while putting them on?,She feels focused and ready to listen.,,,,,
Image_3860.jpg,Is the man wearing his headphones over both ears?,"Yes, the man is wearing his headphones over both ears.",,,,,
Image_3860.jpg,Does the man seem relaxed while listening to music?,"Yes, he seems relaxed.",,,,,
Image_3861.jpg,How is the man holding his phone during the call?,The man is holding his phone with one hand.,,,,,
Image_3861.jpg,What emotion does the man show while speaking?,He shows enthusiasm and joy.,,,,,
Image_3862.jpg,Is the boy writing with a pen in his right hand?,"Yes, the boy is writing with a pen in his right hand.",,,,,
Image_3862.jpg,How does the boy feel while working on his task?,He feels focused and determined.,,,,,
Image_3870.jpg,What action is the elderly man taking with his headphones?,The elderly man is placing the headphones on his head.,,,,,
Image_3870.jpg,Is the elderly man feeling curious about the sound?,"Yes, he is feeling curious.",,,,,
Image_3882.jpg,Is the young man holding his phone in his left hand?,"Yes, the young man is holding his phone in his left hand.",,,,,
Image_3882.jpg,What joy does the young man express while listening?,He expresses excitement and happiness.,,,,,
Image_3897.jpg,How is the woman engaging with her phone outside?,The woman is laughing while talking on her phone.,,,,,
Image_3897.jpg,Does the woman appear cheerful during her conversation?,"Yes, she appears cheerful.",,,,,
Image_3916.jpg,Is the boy lying on his stomach while using the phone?,"Yes, the boy is lying on his stomach while using the phone.",,,,,
Image_3916.jpg,What emotion does the boy display while texting?,He displays amusement and interest.,,,,,
Image_3924.jpg,How does the boy position his arms while wearing headphones?,The boy rests his arms behind his head while wearing headphones.,,,,,
Image_3924.jpg,Is the boy feeling calm while listening to music?,"Yes, he is feeling calm.",,,,,
Image_3925.jpg,What activity is the girl doing with her phone on the couch?,The girl is playing a game on her phone.,,,,,
Image_3925.jpg,Does the girl look absorbed in her activity?,"Yes, she looks absorbed.",,,,,
Image_3926.jpg,Is the woman holding the glass with both hands?,"No, the woman is not holding the glass with both hands.",,,,,
Image_3926.jpg,How does the woman feel after taking a sip?,She feels refreshed and content.,,,,,
Image_3933.jpg,Is the girl typing on her laptop at the table?,"Yes, the girl is typing on her laptop.",,,,,
Image_3933.jpg,Does the girl look concentrated while working?,"Yes, she looks concentrated.",,,,,
Image_3936.jpg,How is the elderly woman interacting with the spoon?,The elderly woman is opening her mouth to be fed.,,,,,
Image_3936.jpg,What feeling does the woman show while eating?,She shows gratitude and comfort.,,,,,
Image_3941.jpg,Is the woman holding the desk phone with her right hand?,"Yes, the woman is holding the desk phone with her right hand.",,,,,
Image_3941.jpg,How does the woman feel during her phone call?,She feels pleased and engaged.,,,,,
Image_3963.jpg,What is the man doing with his phone outside?,The man is smiling while speaking on his phone.,,,,,
Image_3963.jpg,Does the man appear joyful during the conversation?,"Yes, he appears joyful.",,,,,
Image_3966.jpg,How does the man handle his phone in the suit?,The man is gesturing with his phone while talking.,,,,,
Image_3966.jpg,What emotion is reflected in the man’s expression?,His expression reflects confidence and excitement.,,,,,
Image_3967.jpg,Is the man holding the phone to his left ear?,"Yes, the man is holding the phone to his left ear.",,,,,
Image_3967.jpg,How does the natural setting affect his mood?,He feels relaxed and content.,,,,,
Image_3973.jpg,What activity is the woman performing with her phone?,The woman is laughing while holding her phone.,,,,,
Image_3973.jpg,Does the woman seem entertained by the call?,Does the woman seem entertained by the call?,,,,,
Image_3980.jpg,How is the boy adjusting his headphones outside?,The boy is placing his headphones over his ears.,,,,,
Image_3980.jpg,What happiness does the boy display while listening?,He displays a bright and cheerful happiness.,,,,,
Image_3992.jpg,Is the woman cradling the mug with both hands?,"Yes, the woman is cradling the mug with both hands.",,,,,
Image_3992.jpg,How does the warmth affect the woman’s emotions?,She feels cozy and serene.,,,,,
Image_3997.jpg,What is the man doing with his phone and headphones?,Does the man look thrilled with his music choice?,,,,,
Image_3997.jpg,The man is selecting a track while wearing headphones.,"Yes, he looks thrilled.",,,,,
Image_4011.jpg,How is the man interacting with his phone and headphones?,The man is using his phone while listening through headphones.,,,,,
Image_4011.jpg,How does the young man feel while doing this?,He feels engaged and entertained.,,,,,
Image_4017.jpg,What action is the man performing with the water bottle?,The man is drinking water from a bottle.,,,,,
Image_4017.jpg,How does the elderly man feel while drinking?,He feels refreshed and satisfied.,,,,,
Image_4022.jpg,In what manner is the woman operating her laptop?,The woman is using her laptop while sitting on the couch.,,,,,
Image_4022.jpg,How does the elderly woman feel while working on her laptop?,She feels curious and content.,,,,,
Image_4031.jpg,What is the man doing with his phone?,The man is holding the phone to his ear.,,,,,
Image_4031.jpg,How does the man feel during his phone conversation?,He feels relaxed and confident.,,,,,
Image_4047.jpg,How is the man engaging with his phone?,The man is talking on the phone near the bridge.,,,,,
Image_4047.jpg,Is the man feeling stressed while talking on the phone?,"No, the man is feeling calm and professional.",,,,,
Image_4057.jpg,How is the young boy handling his phone?,The young boy is holding and looking at his phone.,,,,,
Image_4057.jpg,How does the young boy feel while using the phone?,He feels excited and delighted.,,,,,
Image_4059.jpg,What task is the man performing with his phone?,The man is using his phone while sitting at a table.,,,,,
Image_4059.jpg,How does the man feel while browsing on his phone?,He feels focused and thoughtful.,,,,,
Image_4075.jpg,In what way is the elderly woman interacting with her laptop?,The elderly woman is using her laptop while sitting.,,,,,
Image_4075.jpg,How does the elderly woman feel while working on her laptop?,She feels calm and interested.,,,,,
Image_4087.jpg,What action is the man taking with his phone and earphones?,The man is using his phone while listening through earphones.,,,,,
Image_4087.jpg,How does the man feel while doing this?,He feels relaxed and motivated.,,,,,
Image_4090.jpg,How is the man engaging with his headphones?,The man is listening to something with his headphones on.,,,,,
Image_4090.jpg,How does the man feel while listening?,He feels surprised and thrilled.,,,,,
Image_4099.jpg,What action is the man taking with the water bottle?,The man is drinking from a water bottle.,,,,,
Image_4099.jpg,How does the man feel while drinking?,He feels refreshed and relieved.,,,,,
Image_4105.jpg,How is the man in the suit using his phone?,The man in the suit is talking on the phone.,,,,,
Image_4105.jpg,How does the man feel during his conversation?,He feels focused and professional.,,,,,
Image_4106.jpg,In what way is the boy engaging with his phone and earphones?,The boy is using his phone while listening through earphones.,,,,,
Image_4106.jpg,How does the boy feel while doing this?,He feels tired and stressed.,,,,,
Image_4116.jpg,What task is the man performing with his laptop?,The man is using his laptop while sitting.,,,,,
Image_4116.jpg,How does the man feel while working on his laptop?,He feels frustrated and overwhelmed.,,,,,
Image_4119.jpg,How is the elderly woman handling the glass?,The elderly woman is drinking from a glass.,,,,,
Image_4119.jpg,How does the elderly woman feel while drinking?,She feels calm and content.,,,,,
Image_4145.jpg,What is the woman doing with the beer and mug?,The woman is pouring beer into a mug.,,,,,
Image_4145.jpg,How does the woman feel while pouring the beer?,She feels relaxed and comfortable.,,,,,
Image_4155.jpg,How is the young woman using her headphones?,The young woman is listening to something with her headphones on.,,,,,
Image_4155.jpg,How does the young woman feel while listening?,She feels happy and engaged.,,,,,
Image_4162.jpg,What action is the man taking with his phone near the car?,The man is talking on the phone while sitting near a car.,,,,,
Image_4162.jpg,How does the man feel during his phone call?,He feels anxious and frustrated.,,,,,
Image_4168.jpg,In what way is the boy interacting with his phone on the couch?,The boy is using his phone while sitting on the couch.,,,,,
Image_4168.jpg,How does the boy feel while using the phone?,He feels concentrated and curious.,,,,,
Image_4178.jpg,How is the woman handling her phone at the table?,The woman is holding and looking at her phone at the table.,,,,,
